account,date,description,amount,invoice_ref
CHECKING-4821,2026-08-01,Shopify sales deposit,1450.00,INV-1001
CHECKING-4821,2026-08-02,AWS hosting,-89.50,INV-1002
CHECKING-4821,2026-08-03,Payment Acme Corp,3200.00,INV-1003
CHECKING-4821,2026-08-05,Google Workspace sub,-18.00,INV-1004
CHECKING-4821,2026-08-05,Transfer to savings,-5000.00,TRF-001
CHECKING-4821,2026-08-06,Payment Globex,1750.00,INV-1005
CHECKING-4821,2026-08-07,Office supplies,-134.25,INV-1006
CHECKING-4821,2026-08-10,Shopify sales deposit,980.00,INV-1007
CHECKING-4821,2026-08-14,Payment Initech,2500.00,INV-1008
CHECKING-4821,2026-08-19,Payment Umbrella,4100.00,INV-1009
CHECKING-4821,2026-08-24,Payment Wayne Enterprises,900.00,INV-1010
CHECKING-4821,2026-08-26,Asiento con monto ilegible,N/D,INV-1011
SAVINGS-9107,2026-08-05,Transfer from checking,5000.00,TRF-001
