account,date,description,amount
CHECKING-4821,2026-08-01,SHOPIFY PAYMENTS DEP,"1,450.00"
CHECKING-4821,2026-08-02,AWS SERVICES,(89.50)
CHECKING-4821,2026-08-03,CLIENT PAYMENT - ACME CORP,"3,200.00"
CHECKING-4821,2026-08-05,GOOGLE WORKSPACE,(18.00)
CHECKING-4821,2026-08-05,TRANSFER TO SAVINGS,"(5,000.00)"
CHECKING-4821,2026-08-06,CLIENT PAYMENT - GLOBEX,"1,800.00"
CHECKING-4821,2026-08-07,OFFICE SUPPLIES CO,(134.25)
CHECKING-4821,2026-08-10,SHOPIFY PAYMENTS DEP,980.00
CHECKING-4821,2026-08-14,BANK FEE,(15.00)
CHECKING-4821,2026-08-17,CLIENT PAYMENT - INITECH,"2,500.00"
CHECKING-4821,2026-08-20,CLIENT PAYMENT - UMBRELLA,"4,100.00"
CHECKING-4821,,MOVIMIENTO SIN FECHA LEGIBLE,250.00
SAVINGS-9107,2026-08-05,TRANSFER FROM CHECKING,"5,000.00"
SAVINGS-9107,2026-08-31,INTEREST CREDIT,12.44
